ts,Temperatura [ºC]
2023-04-24 00:00:00,21.8
2023-04-24 01:00:00,21.1
2023-04-24 02:00:00,20.3
2023-04-24 03:00:00,19.4
2023-04-24 04:00:00,18.8
2023-04-24 05:00:00,18.1
2023-04-24 06:00:00,17.2
2023-04-24 07:00:00,17.9
2023-04-24 08:00:00,19.2
2023-04-24 09:00:00,21.8
2023-04-24 10:00:00,24.5
2023-04-24 11:00:00,26.6
2023-04-24 12:00:00,28.5
2023-04-24 13:00:00,30.3
2023-04-24 14:00:00,31.8
2023-04-24 15:00:00,31.7
2023-04-24 16:00:00,32.2
2023-04-24 17:00:00,32.0
2023-04-24 18:00:00,31.4
2023-04-24 19:00:00,27.8
2023-04-24 20:00:00,26.2
2023-04-24 21:00:00,24.7
2023-04-24 22:00:00,23.8
2023-04-24 23:00:00,22.5
2023-04-25 00:00:00,21.5
2023-04-25 01:00:00,20.7
2023-04-25 02:00:00,19.8
2023-04-25 03:00:00,19.0
2023-04-25 04:00:00,18.4
2023-04-25 05:00:00,17.6
2023-04-25 06:00:00,17.0
2023-04-25 07:00:00,17.3
2023-04-25 08:00:00,19.0
2023-04-25 09:00:00,21.3
2023-04-25 10:00:00,23.9
2023-04-25 11:00:00,26.5
2023-04-25 12:00:00,28.8
2023-04-25 13:00:00,30.6
2023-04-25 14:00:00,32.1
2023-04-25 15:00:00,33.7
2023-04-25 16:00:00,34.3
2023-04-25 17:00:00,34.4
2023-04-25 18:00:00,35.0
2023-04-25 19:00:00,30.8
2023-04-25 20:00:00,29.2
2023-04-25 21:00:00,27.6
2023-04-25 22:00:00,26.4
2023-04-25 23:00:00,25.6
2023-04-26 00:00:00,24.1
2023-04-26 01:00:00,22.8
2023-04-26 02:00:00,21.7
2023-04-26 03:00:00,20.6
2023-04-26 04:00:00,19.7
2023-04-26 05:00:00,19.1
2023-04-26 06:00:00,18.4
2023-04-26 07:00:00,19.0
2023-04-26 08:00:00,20.5
2023-04-26 09:00:00,23.2
2023-04-26 10:00:00,25.7
2023-04-26 11:00:00,28.7
2023-04-26 12:00:00,30.8
2023-04-26 13:00:00,32.7
2023-04-26 14:00:00,34.2
2023-04-26 15:00:00,35.2
2023-04-26 16:00:00,35.4
2023-04-26 17:00:00,35.6
2023-04-26 18:00:00,33.8
2023-04-26 19:00:00,30.0
2023-04-26 20:00:00,28.2
2023-04-26 21:00:00,26.5
2023-04-26 22:00:00,25.6
2023-04-26 23:00:00,24.0
2023-04-27 00:00:00,22.7
2023-04-27 01:00:00,22.4
2023-04-27 02:00:00,21.2
2023-04-27 03:00:00,20.4
2023-04-27 04:00:00,19.9
2023-04-27 05:00:00,19.5
2023-04-27 06:00:00,18.9
2023-04-27 07:00:00,18.1
2023-04-27 08:00:00,19.6
2023-04-27 09:00:00,20.9
2023-04-27 10:00:00,23.0
2023-04-27 11:00:00,24.8
2023-04-27 12:00:00,25.9
2023-04-27 13:00:00,27.5
2023-04-27 14:00:00,29.4
2023-04-27 15:00:00,31.0
2023-04-27 16:00:00,30.9
2023-04-27 17:00:00,30.5
2023-04-27 18:00:00,30.0
2023-04-27 19:00:00,27.1
2023-04-27 20:00:00,25.2
2023-04-27 21:00:00,24.2
2023-04-27 22:00:00,23.1
2023-04-27 23:00:00,22.0
2023-04-28 00:00:00,21.6
2023-04-28 01:00:00,21.5
2023-04-28 02:00:00,20.8
2023-04-28 03:00:00,20.9
2023-04-28 04:00:00,20.4
2023-04-28 05:00:00,19.9
2023-04-28 06:00:00,19.9
2023-04-28 07:00:00,20.4
2023-04-28 08:00:00,20.8
2023-04-28 09:00:00,22.3
2023-04-28 10:00:00,23.8
2023-04-28 11:00:00,25.5
2023-04-28 12:00:00,26.9
2023-04-28 13:00:00,28.6
2023-04-28 14:00:00,30.4
2023-04-28 15:00:00,31.7
2023-04-28 16:00:00,32.3
2023-04-28 17:00:00,31.3
2023-04-28 18:00:00,30.5
2023-04-28 19:00:00,28.4
2023-04-28 20:00:00,26.7
2023-04-28 21:00:00,25.8
2023-04-28 22:00:00,25.1
2023-04-28 23:00:00,24.5
2023-04-29 00:00:00,23.1
2023-04-29 01:00:00,21.4
2023-04-29 02:00:00,21.4
2023-04-29 03:00:00,20.7
2023-04-29 04:00:00,20.2
2023-04-29 05:00:00,19.8
2023-04-29 06:00:00,19.6
2023-04-29 07:00:00,19.7
2023-04-29 08:00:00,20.2
2023-04-29 09:00:00,21.3
2023-04-29 10:00:00,23.3
2023-04-29 11:00:00,24.5
2023-04-29 12:00:00,26.5
2023-04-29 13:00:00,27.7
2023-04-29 14:00:00,29.1
2023-04-29 15:00:00,29.7
2023-04-29 16:00:00,29.2
2023-04-29 17:00:00,29.6
2023-04-29 18:00:00,29.3
2023-04-29 19:00:00,27.4
2023-04-29 20:00:00,25.7
2023-04-29 21:00:00,24.6
2023-04-29 22:00:00,23.7
2023-04-29 23:00:00,23.1
2023-04-30 00:00:00,22.4
2023-04-30 01:00:00,21.7
2023-04-30 02:00:00,21.3
2023-04-30 03:00:00,20.6
2023-04-30 04:00:00,20.8
2023-04-30 05:00:00,20.1
2023-04-30 06:00:00,19.2
2023-04-30 07:00:00,19.2
2023-04-30 08:00:00,20.0
2023-04-30 09:00:00,21.2
2023-04-30 10:00:00,22.5
2023-04-30 11:00:00,24.6
2023-04-30 12:00:00,26.8
2023-04-30 13:00:00,26.3
2023-04-30 14:00:00,28.7
2023-04-30 15:00:00,30.4
2023-04-30 16:00:00,30.1
2023-04-30 17:00:00,30.2
2023-04-30 18:00:00,29.6
2023-04-30 19:00:00,25.6
2023-04-30 20:00:00,23.3
2023-04-30 21:00:00,21.8
2023-04-30 22:00:00,21.1
2023-04-30 23:00:00,20.4
