ts,Temperatura [ºC]
2023-04-24 00:00:00,18.45
2023-04-24 00:10:00,18.55
2023-04-24 00:20:00,18.45
2023-04-24 00:30:00,17.93
2023-04-24 00:40:00,17.39
2023-04-24 00:50:00,17.1
2023-04-24 01:00:00,17.04
2023-04-24 01:10:00,16.97
2023-04-24 01:20:00,16.97
2023-04-24 01:30:00,17.09
2023-04-24 01:40:00,17.01
2023-04-24 01:50:00,16.99
2023-04-24 02:00:00,16.93
2023-04-24 02:10:00,16.89
2023-04-24 02:20:00,16.84
2023-04-24 02:30:00,16.97
2023-04-24 02:40:00,16.9
2023-04-24 02:50:00,16.78
2023-04-24 03:00:00,16.62
2023-04-24 03:10:00,16.51
2023-04-24 03:20:00,16.38
2023-04-24 03:30:00,16.29
2023-04-24 03:40:00,16.27
2023-04-24 03:50:00,16.25
2023-04-24 04:00:00,16.33
2023-04-24 04:10:00,16.39
2023-04-24 04:20:00,16.38
2023-04-24 04:30:00,16.35
2023-04-24 04:40:00,16.46
2023-04-24 04:50:00,16.45
2023-04-24 05:00:00,16.42
2023-04-24 05:10:00,16.46
2023-04-24 05:20:00,16.5
2023-04-24 05:30:00,16.52
2023-04-24 05:40:00,16.41
2023-04-24 05:50:00,16.62
2023-04-24 06:00:00,16.84
2023-04-24 06:10:00,17.1
2023-04-24 06:20:00,17.43
2023-04-24 06:30:00,17.67
2023-04-24 06:40:00,18.16
2023-04-24 06:50:00,18.8
2023-04-24 07:00:00,19.29
2023-04-24 07:10:00,19.78
2023-04-24 07:20:00,20.22
2023-04-24 07:30:00,21.04
2023-04-24 07:40:00,21.3
2023-04-24 07:50:00,21.3
2023-04-24 08:00:00,21.69
2023-04-24 08:10:00,22.3
2023-04-24 08:20:00,23.0
2023-04-24 08:30:00,23.68
2023-04-24 08:40:00,23.91
2023-04-24 08:50:00,24.47
2023-04-24 09:00:00,25.17
2023-04-24 09:10:00,25.41
2023-04-24 09:20:00,25.74
2023-04-24 09:30:00,26.3
2023-04-24 09:40:00,26.56
2023-04-24 09:50:00,26.72
2023-04-24 10:00:00,26.86
2023-04-24 10:10:00,27.4
2023-04-24 10:20:00,27.95
2023-04-24 10:30:00,27.57
2023-04-24 10:40:00,28.08
2023-04-24 10:50:00,28.83
2023-04-24 11:00:00,29.37
2023-04-24 11:10:00,29.49
2023-04-24 11:20:00,26.61
2023-04-24 11:30:00,24.88
2023-04-24 11:40:00,24.2
2023-04-24 11:50:00,23.77
2023-04-24 12:00:00,23.5
2023-04-24 12:10:00,23.47
2023-04-24 12:20:00,23.75
2023-04-24 12:30:00,23.81
2023-04-24 12:40:00,23.78
2023-04-24 12:50:00,24.15
2023-04-24 13:00:00,24.47
2023-04-24 13:10:00,24.38
2023-04-24 13:20:00,24.67
2023-04-24 13:30:00,25.03
2023-04-24 13:40:00,24.88
2023-04-24 13:50:00,25.11
2023-04-24 14:00:00,25.23
2023-04-24 14:10:00,25.29
2023-04-24 14:20:00,25.32
2023-04-24 14:30:00,25.27
2023-04-24 14:40:00,25.45
2023-04-24 14:50:00,25.56
2023-04-24 15:00:00,25.04
2023-04-24 15:10:00,25.32
2023-04-24 15:20:00,25.18
2023-04-24 15:30:00,26.16
2023-04-24 15:40:00,26.2
2023-04-24 15:50:00,25.55
2023-04-24 16:00:00,25.3
2023-04-24 16:10:00,24.91
2023-04-24 16:20:00,24.9
2023-04-24 16:30:00,25.15
2023-04-24 16:40:00,25.31
2023-04-24 16:50:00,24.94
2023-04-24 17:00:00,24.74
2023-04-24 17:10:00,24.64
2023-04-24 17:20:00,24.51
2023-04-24 17:30:00,24.24
2023-04-24 17:40:00,24.19
2023-04-24 17:50:00,24.14
2023-04-24 18:00:00,24.02
2023-04-24 18:10:00,23.91
2023-04-24 18:20:00,23.59
2023-04-24 18:30:00,23.53
2023-04-24 18:40:00,23.33
2023-04-24 18:50:00,22.96
2023-04-24 19:00:00,22.51
2023-04-24 19:10:00,22.04
2023-04-24 19:20:00,21.68
2023-04-24 19:30:00,21.55
2023-04-24 19:40:00,21.4
2023-04-24 19:50:00,21.4
2023-04-24 20:00:00,21.46
2023-04-24 20:10:00,21.34
2023-04-24 20:20:00,21.39
2023-04-24 20:30:00,21.4
2023-04-24 20:40:00,21.48
2023-04-24 20:50:00,21.49
2023-04-24 21:00:00,21.52
2023-04-24 21:10:00,21.6
2023-04-24 21:20:00,21.63
2023-04-24 21:30:00,21.65
2023-04-24 21:40:00,21.51
2023-04-24 21:50:00,21.18
2023-04-24 22:00:00,20.99
2023-04-24 22:10:00,20.96
2023-04-24 22:20:00,20.72
2023-04-24 22:30:00,20.48
2023-04-24 22:40:00,20.15
2023-04-24 22:50:00,19.93
2023-04-24 23:00:00,19.99
2023-04-24 23:10:00,19.9
2023-04-24 23:20:00,19.86
2023-04-24 23:30:00,19.71
2023-04-24 23:40:00,19.48
2023-04-24 23:50:00,19.2
2023-04-25 00:00:00,19.1
2023-04-25 00:10:00,19.35
2023-04-25 00:20:00,19.54
2023-04-25 00:30:00,19.36
2023-04-25 00:40:00,19.28
2023-04-25 00:50:00,19.09
2023-04-25 01:00:00,18.97
2023-04-25 01:10:00,18.99
2023-04-25 01:20:00,19.02
2023-04-25 01:30:00,18.88
2023-04-25 01:40:00,18.8
2023-04-25 01:50:00,18.93
2023-04-25 02:00:00,18.85
2023-04-25 02:10:00,19.01
2023-04-25 02:20:00,19.04
2023-04-25 02:30:00,18.9
2023-04-25 02:40:00,18.64
2023-04-25 02:50:00,18.42
2023-04-25 03:00:00,18.37
2023-04-25 03:10:00,18.19
2023-04-25 03:20:00,18.0
2023-04-25 03:30:00,17.89
2023-04-25 03:40:00,17.8
2023-04-25 03:50:00,17.86
2023-04-25 04:00:00,17.9
2023-04-25 04:10:00,17.94
2023-04-25 04:20:00,18.01
2023-04-25 04:30:00,18.0
2023-04-25 04:40:00,17.99
2023-04-25 04:50:00,17.96
2023-04-25 05:00:00,17.89
2023-04-25 05:10:00,17.63
2023-04-25 05:20:00,17.64
2023-04-25 05:30:00,17.72
2023-04-25 05:40:00,17.74
2023-04-25 05:50:00,17.34
2023-04-25 06:00:00,17.29
2023-04-25 06:10:00,17.45
2023-04-25 06:20:00,17.83
2023-04-25 06:30:00,18.56
2023-04-25 06:40:00,19.18
2023-04-25 06:50:00,19.72
2023-04-25 07:00:00,19.85
2023-04-25 07:10:00,19.99
2023-04-25 07:20:00,20.26
